Start Time,Sample Time,Label,Status,response,Thread Name,data type,success,,Bytes,Sent Bytes,grpThread,allThread,URL,Latency,idle time,Connect Time
1.74847E+12,5450,Resource,200,OK,Thread Group 1-32,text,TRUE,,325304,130,33,33,https://www.simplilearn.com/resources,2027,0,0
1.74847E+12,5737,Resource,200,OK,Thread Group 1-30,text,TRUE,,325304,130,33,33,https://www.simplilearn.com/resources,2011,0,0
1.74847E+12,6715,Corporate,200,OK,Thread Group 1-17,text,TRUE,,432593,139,33,33,https://www.simplilearn.com/corporate-training,1258,0,0
1.74847E+12,8030,Corporate,200,OK,Thread Group 1-7,text,TRUE,,432576,139,32,32,https://www.simplilearn.com/corporate-training,1402,0,0
1.74847E+12,5428,Resource,200,OK,Thread Group 1-33,text,TRUE,,325304,130,31,31,https://www.simplilearn.com/resources,2075,0,0
1.74847E+12,5643,Corporate,200,OK,Thread Group 1-23,text,TRUE,,432584,139,31,31,https://www.simplilearn.com/corporate-training,2073,0,0
1.74847E+12,5396,Resource,200,OK,Thread Group 1-40,text,TRUE,,325304,130,30,30,https://www.simplilearn.com/resources,2147,0,0
1.74847E+12,6807,Corporate,200,OK,Thread Group 1-15,text,TRUE,,432576,139,30,30,https://www.simplilearn.com/corporate-training,1669,0,0
1.74847E+12,7166,Corporate,200,OK,Thread Group 1-18,text,TRUE,,432576,139,29,29,https://www.simplilearn.com/corporate-training,1379,0,0
1.74847E+12,5173,Resource,200,OK,Thread Group 1-39,text,TRUE,,325304,130,28,28,https://www.simplilearn.com/resources,2187,0,0
1.74847E+12,5293,Resource,200,OK,Thread Group 1-38,text,TRUE,,325304,130,28,28,https://www.simplilearn.com/resources,2168,0,0
1.74847E+12,5130,Resource,200,OK,Thread Group 1-37,text,TRUE,,325304,130,28,28,https://www.simplilearn.com/resources,2267,0,0
1.74847E+12,7733,Corporate,200,OK,Thread Group 1-9,text,TRUE,,432584,139,28,28,https://www.simplilearn.com/corporate-training,1059,0,0
1.74847E+12,5415,Corporate,200,OK,Thread Group 1-24,text,TRUE,,432600,139,27,27,https://www.simplilearn.com/corporate-training,2137,0,0
1.74847E+12,4909,Resource,200,OK,Thread Group 1-43,text,TRUE,,325305,130,26,26,https://www.simplilearn.com/resources,2379,0,0
1.74847E+12,4983,Resource,200,OK,Thread Group 1-45,text,TRUE,,325304,130,26,26,https://www.simplilearn.com/resources,2318,0,0
